B,I,T,P,O,D,L
FTC FASHIONS,Girls Party(Festive) Dress Cap,Grey,₹189,₹999,81% off,https://flipkart//ftc-fashions-girls-party-festive-dress-cap/p/itm64fdb81c38d70?pid=KPBFEZ2HCVE6DJDV&lid=LSTKPBFEZ2HCVE6DJDVEUENAD&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KPBFEZ2HCVE6DJDV.SEARCH&ssid=62i0gzmsdc0000001609472205813
FnS,"Women, Girls Bralette Lightly Padded Bra","Light Blue, Red, White, Black",₹270,₹999,72% off,https://flipkart//fns-women-girls-bralette-lightly-padded-bra/p/itm90c042451900e?pid=BRAFVCAM25DNQKAH&lid=LSTBRAFVCAM25DNQKAHWXVFOR&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.BRAFVCAM25DNQKAH.SEARCH&ssid=62i0gzmsdc0000001609472205813
Kedar Fab,MY BABY TOWN Baby Boys & Baby Girls Black Sleepsuit,"Light Blue, Pack of 1",₹590,"₹1,299",54% off,https://flipkart//my-baby-town-boys-girls-black-sleepsuit/p/itm6005038018909?pid=BOLFZDGZKVVR7ECZ&lid=LSTBOLFZDGZKVVR7ECZWB6QIX&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.BOLFZDGZKVVR7ECZ.SEARCH&ssid=62i0gzmsdc0000001609472205813
BRATON,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...",Multicolor,₹499,"₹3,999",87% off,https://flipkart//kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm735b3573d23a6?pid=KLCFVG2P8QC2Y7H7&lid=LSTKLCFVG2P8QC2Y7H7HQVHIH&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KLCFVG2P8QC2Y7H7.SEARCH&ssid=62i0gzmsdc0000001609472205813
harrica,"Girls, Women Tube Lightly Padded Bra",Unstitched,₹322,₹999,67% off,https://flipkart//braton-girls-women-tube-lightly-padded-bra/p/itme73c9c0313596?pid=BRAFUPVCGTP9TT4G&lid=LSTBRAFUPVCGTP9TT4GUBDVIF&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.BRAFUPVCGTP9TT4G.SEARCH&ssid=62i0gzmsdc0000001609472205813
Kedar Fab,Rayon Printed Shirt Fabric,"Light Blue, Pack of 1",₹454,₹999,54% off,https://flipkart//harrica-rayon-printed-shirt-fabric/p/itm3e122fcd74627?pid=FABFWYHGCRYQS4N6&lid=LSTFABFWYHGCRYQS4N6LHBMSS&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.FABFWYHGCRYQS4N6.SEARCH&ssid=62i0gzmsdc0000001609472205813
Kedar Fab,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...","Blue, Pack of 1",₹499,"₹3,999",87% off,https://flipkart//kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm18914fff9d437?pid=KLCFVG2PUVWZWMZZ&lid=LSTKLCFVG2PUVWZWMZZOQ6OOB&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KLCFVG2PUVWZWMZZ.SEARCH&ssid=62i0gzmsdc0000001609472205813
FTC FASHIONS,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...","Black, 3/4 Sleeve",₹499,"₹3,999",87% off,https://flipkart//kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm08797722bfa37?pid=KLCFPCK24GHQYGHN&lid=LSTKLCFPCK24GHQYGHNTUWVHA&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KLCFPCK24GHQYGHN.SEARCH&ssid=62i0gzmsdc0000001609472205813
JARS Collections,Girls Maxi/Full Length Casual Dress,Pack of 4,₹188,₹899,79% off,https://flipkart//ftc-fashions-girls-maxi-full-length-casual-dress/p/itm0b15aca691c10?pid=KDEFVRKGY2G4ZYKN&lid=LSTKDEFVRKGY2G4ZYKNHYQ2FZ&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KDEFVRKGY2G4ZYKN.SEARCH&ssid=62i0gzmsdc0000001609472205813
KAARIGARI,Boys & Girls Graphic Print Bandana,"Black, Full Sleeve",₹162,₹899,81% off,https://flipkart//jars-collections-boys-girls-graphic-print-bandana/p/itmf3umwzwwsh2p7?pid=BDAFYTHFJQPZE7HR&lid=LSTBDAFYTHFJQPZE7HRJGYT2H&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.BDAFYTHFJQPZE7HR.SEARCH&ssid=62i0gzmsdc0000001609472205813
MRM CREATION,Girls Maxi/Full Length Party Dress,"Grey, Sleeveless",₹254,"₹1,199",78% off,https://flipkart//kaarigari-girls-maxi-full-length-party-dress/p/itmfg4yv8gg5fe5r?pid=KDEFG4RNGDUZWYW8&lid=LSTKDEFG4RNGDUZWYW8CIGUJB&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=01ee290e-9634-4fbe-8b8c-ae45eca04f0e.KDEFG4RNGDUZWYW8.SEARCH&ssid=62i0gzmsdc0000001609472205813
